feature,importance
v_3,26.02345388162886
v_0,17.880309649892002
v_12,15.937285683806444
v_8,4.7534271892184226
kilometer,3.116099307378498
power,2.852183997517531
v_6,2.726549946674176
v_10,2.67848231180163
v_9,2.234581285086324
v_1,2.189777005488553
age_segment,1.4949450586891397
power_log,1.4631757107642391
v_14,1.292239521003325
power_displacement_ratio,1.1836303724907062
vehicle_age_days,0.900963861649902
v_11,0.8138491963518842
v_4,0.7063404555595489
age_price_min,0.7030289041812912
brand_model_price_max,0.6516339128881434
model_price_median,0.6316454488690162
v_13,0.628979322684712
vehicle_age_years,0.6097784623415878
reg_year,0.5751875182548979
v_2,0.5542567095221068
car_age_from_now,0.5220713894460853
age_price_median,0.5075974723413094
carAge,0.4964971228358211
notRepairedDamage,0.46299588136182085
brand_price_std,0.43338521052861556
brand_model_price_std,0.40908998140072733
model_price_min,0.4035655224687243
km_per_year,0.38425133308804027
v_5,0.32571479839331274
brand_price_median,0.285862406964327
age_price_mean,0.2157555057118264
model_price_mean,0.2125891972446152
model_price_std,0.19702663583036586
brand_price_mean,0.1883270853350744
brand_price_count,0.178668392617042
model_price_max,0.17768520274197255
brand_min_price,0.1639820937183541
bodyType,0.155990565765131
brand_max_price,0.14661048432458065
brand_model_price_min,0.14569787969967518
model_price_ratio,0.13495400857946088
brand_carAge,0.12044316804792671
fuelType,0.10629925093151697
brand_freq,0.10189983716867758
v_7,0.08382491113995053
brand_model_price_median,0.07038163428839987
brand_model_price_mean,0.06883479248653357
brand_price_ratio,0.06560536026950745
power_model,0.06127275250838557
bodyType_freq,0.05436234164696322
reg_month,0.054274219009729306
gearbox,0.05243360103477344
regionCode,0.04560436261310543
age_price_std,0.04233295277266137
model_price_count,0.04218795993992625
notRepairedDamage_freq,0.041690203517380696
model_num,0.039275319441391836
age_price_max,0.03559584387198979
brand_model_price_count,0.02720557737393169
fuelType_freq,0.026329783523570852
brand,0.021672934390326196
model_kilometer,0.019796561759825766
model_freq,0.018034476445501386
regMonth,0.016091531703236506
is_new_car,0.007889827366187397
regQuarter,0.006787485258554285
creat_day,0.006434721387594002
gearbox_freq,0.004303502072395255
reg_day,0.003540742159332687
creat_month,0.002310400373854703
reg_season,0.001238003426773456
creatMonth,0.0008784513819169302
creatQuarter,0.0005352227898082317
creat_season,0.00046365957734122707
creat_year,4.572418108347103e-05
model,0.0
v_10_missing,0.0
kilometer_outlier,0.0
power_outlier,0.0
brand_model,0.0
v_8_missing,0.0
v_0_missing,0.0
kilometer_missing,0.0
power_missing,0.0
v_1_missing,0.0
v_12_missing,0.0
v_11_missing,0.0
v_14_missing,0.0
v_13_missing,0.0
v_9_missing,0.0
v_2_missing,0.0
v_3_missing,0.0
v_4_missing,0.0
v_5_missing,0.0
v_6_missing,0.0
v_7_missing,0.0
v_0_outlier,0.0
