iter	Passed	Remaining
355	34569	1422015
356	34651	1421311
357	34728	1420379
358	34810	1419660
359	34888	1418786
360	34973	1418236
361	35056	1417545
362	35135	1416739
363	35212	1415855
364	35292	1415074
365	35375	1414437
366	35458	1413779
367	35537	1413003
368	35622	1412456
369	35700	1411633
370	35781	1410904
371	35863	1410245
372	35957	1410052
373	36033	1409175
374	36120	1408699
375	36197	1407846
376	36274	1407025
377	36353	1406244
378	36434	1405569
379	36517	1404943
380	36598	1404276
381	36673	1403396
382	36759	1402899
383	36839	1402203
384	36922	1401621
385	36999	1400806
386	37083	1400270
387	37172	1399914
388	37254	1399280
389	37337	1398705
390	37421	1398198
391	37502	1397542
392	37583	1396904
393	37664	1396267
394	37750	1395825
395	37831	1395169
396	37913	1394584
397	37999	1394145
398	38075	1393344
399	38159	1392821
400	38241	1392241
401	38326	1391767
402	38401	1390923
403	38480	1390261
404	38561	1389632
405	38638	1388884
406	38718	1388265
407	38797	1387571
408	38878	1386980
409	38959	1386397
410	39043	1385894
411	39129	1385474
412	39264	1386814
413	39349	1386370
414	39430	1385775
415	39510	1385163
416	39597	1384755
417	39687	1384513
418	39767	1383905
419	39843	1383149
420	39922	1382491
421	40000	1381829
422	40082	1381294
423	40159	1380569
424	40246	1380214
425	40327	1379671
426	40411	1379193
427	40491	1378588
428	40569	1377936
429	40642	1377129
430	40731	1376838
431	40810	1376225
432	40898	1375921
433	40979	1375369
434	41063	1374934
435	41144	1374386
436	41227	1373915
437	41309	1373413
438	41391	1372889
439	41473	1372389
440	41552	1371813
441	41635	1371335
442	41716	1370797
443	41794	1370193
444	41873	1369585
445	41948	1368885
446	42034	1368519
447	42111	1367876
448	42191	1367327
449	42273	1366835
450	42353	1366294
451	42433	1365769
452	42517	1365350
453	42600	1364894
454	42686	1364561
455	42764	1363950
456	42846	1363479
457	42923	1362865
458	43007	1362456
459	43082	1361789
460	43167	1361412
461	43244	1360792
462	43321	1360185
463	43403	1359727
464	43481	1359134
465	43563	1358707
466	43646	1358280
467	43730	1357884
468	43812	1357448
469	43895	1357020
470	43983	1356760
471	44066	1356363
472	44149	1355952
473	44230	1355474
474	44315	1355115
475	44397	1354675
476	44483	1354370
477	44568	1354029
478	44650	1353597
479	44730	1353092
480	44807	1352509
481	44890	1352105
482	44973	1351728
483	45061	1351468
484	45140	1350949
485	45224	1350595
486	45307	1350192
487	45392	1349855
488	45473	1349405
489	45549	1348830
490	45629	1348350
491	45711	1347922
492	45788	1347371
493	45869	1346915
494	45953	1346569
495	46035	1346167
496	46116	1345725
497	46194	1345193
498	46275	1344764
499	46349	1344149
500	46441	1344017
501	46522	1343602
502	46606	1343238
503	46686	1342802
504	46766	1342336
505	46847	1341899
506	46924	1341385
507	47006	1340973
508	47092	1340710
509	47167	1340122
510	47249	1339709
511	47336	1339478
512	47421	1339178
513	47504	1338811
514	47589	1338499
515	47670	1338091
516	47752	1337725
517	47835	1337351
518	47917	1336981
519	48002	1336677
520	48080	1336190
521	48160	1335764
522	48241	1335356
523	48325	1335043
524	48412	1334788
525	48493	1334404
526	48576	1334047
527	48662	1333791
528	48744	1333419
529	48821	1332920
530	48904	1332565
531	48984	1332156
532	49059	1331605
533	49134	1331034
534	49219	1330754
535	49303	1330447
536	49388	1330188
537	49470	1329820
538	49553	1329486
539	49635	1329121
540	49719	1328826
541	49800	1328453
542	49887	1328229
543	49963	1327709
544	50043	1327308
545	50122	1326870
546	50201	1326447
547	50286	1326156
548	50368	1325815
549	50449	1325455
550	50533	1325149
551	50610	1324664
552	50691	1324295
553	50773	1323960
554	50855	1323618
555	50938	1323299
556	51018	1322906
557	51101	1322603
558	51182	1322241
559	51265	1321908
560	51347	1321578
561	51425	1321136
562	51513	1320960
563	51589	1320470
564	51668	1320050
565	51750	1319737
566	51828	1319308
567	51909	1318930
568	51988	1318545
569	52065	1318084
570	52151	1317852
571	52231	1317464
572	52311	1317096
573	52392	1316750
574	52473	1316404
575	52550	1315943
576	52634	1315678
577	52717	1315386
578	52801	1315114
579	52883	1314782
580	52963	1314426
581	53038	1313928
582	53120	1313608
583	53201	1313287
584	53283	1312963
585	53365	1312637
586	53447	1312337
587	53526	1311947
588	53608	1311624
589	53692	1311377
590	53774	1311056
591	53855	1310726
592	53936	1310386
593	54016	1310043
594	54096	1309691
595	54174	1309281
596	54262	1309111
597	54339	1308697
598	54419	1308349
599	54500	1308019
600	54583	1307730
601	54664	1307415
602	54746	1307103
603	54828	1306809
604	54912	1306559
605	54985	1306047
606	55071	1305828
607	55152	1305509
608	55237	1305289
609	55315	1304904
610	55394	1304545
611	55478	1304287
612	55562	1304038
613	55646	1303793
614	55729	1303523
615	55812	1303262
616	55893	1302950
617	55972	1302592
618	56060	1302440
619	56135	1301989
