iter	MAE
332	1125.827458
333	1123.79761
334	1122.24551
335	1120.479365
336	1118.566033
337	1117.02288
338	1115.402674
339	1113.550461
340	1112.15068
341	1110.458515
342	1108.947261
343	1106.941235
344	1105.135796
345	1103.644705
346	1102.743859
347	1101.215452
348	1098.840771
349	1097.221227
350	1095.969269
351	1094.396236
352	1093.078464
353	1091.60302
354	1089.889448
355	1087.99888
356	1086.288272
357	1084.488002
358	1083.076798
359	1081.813788
360	1080.328588
361	1078.799698
362	1077.158296
363	1076.088442
364	1075.064287
365	1073.785217
366	1072.722619
367	1071.689501
368	1070.672078
369	1069.880186
370	1068.156234
371	1067.115547
372	1065.49546
373	1063.983717
374	1062.345279
375	1060.910436
376	1059.435007
377	1058.163097
378	1057.186576
379	1055.984624
380	1054.629537
381	1053.364056
382	1051.721924
383	1050.537655
384	1048.915645
385	1047.142671
386	1045.986195
387	1044.765527
388	1043.446749
389	1042.317469
390	1040.973276
391	1039.586571
392	1038.687529
393	1037.65655
394	1036.707128
395	1035.582704
396	1034.410286
397	1033.036161
398	1032.394921
399	1031.266267
400	1030.040857
401	1028.803965
402	1027.626231
403	1026.661142
404	1025.304448
405	1024.201931
406	1023.206639
407	1022.294452
408	1020.705648
409	1019.81726
410	1018.507043
411	1017.412024
412	1016.343937
413	1014.874422
414	1013.769402
415	1012.80433
416	1011.855198
417	1010.695885
418	1009.796905
419	1008.848371
420	1007.654716
421	1006.901265
422	1006.114405
423	1004.83383
424	1003.633966
425	1002.56155
426	1001.435423
427	1000.491211
428	999.7201099
429	998.8839501
430	997.9384245
431	997.00753
432	995.8382069
433	994.5219176
434	993.4338184
435	992.2582426
436	991.4994594
437	990.3868172
438	989.6391141
439	989.1467698
440	988.1425113
441	987.4036745
442	986.4854507
443	985.6077041
444	984.3291234
445	983.1386666
446	982.1962029
447	981.1030738
448	980.3191079
449	979.4929852
450	978.6883741
451	977.8226116
452	977.2158382
453	976.3737271
454	975.3206282
455	974.531755
456	973.5981302
457	972.4708942
458	971.8349504
459	971.065539
460	970.0493494
461	968.9312115
462	968.128237
463	967.6186058
464	966.9991709
465	966.2608758
466	965.3776008
467	964.6783444
468	963.5841847
469	962.5932717
470	962.0119097
471	960.9250028
472	959.8301275
473	958.9807973
474	957.9959699
475	957.3814774
476	956.6490756
477	956.1820867
478	955.2822913
479	954.193868
480	953.117072
481	952.1671412
482	951.4817268
483	950.8389089
484	949.996124
485	949.3526772
486	948.560815
487	947.624225
488	947.0674443
489	946.21117
490	945.4797139
491	944.5688471
492	944.2822788
493	943.8303565
494	942.9786195
495	942.1514309
496	941.2722998
497	940.7145679
498	939.7827512
499	939.0527935
500	938.1181775
501	937.3078877
502	936.8187882
503	936.1602877
504	935.6821956
505	935.3713072
506	934.8607156
507	934.1391321
508	933.547438
509	933.1097519
510	932.4731163
511	931.8890134
512	931.3565032
513	930.5489215
514	929.971831
515	929.3969356
516	929.1640088
517	928.5873788
518	927.8270702
519	926.9935022
520	926.6644492
521	926.2573854
522	925.4541284
523	925.3513209
524	924.7446536
525	924.308376
526	923.3923977
527	922.906688
528	922.2544831
529	921.6859793
530	921.0156235
531	920.6926175
532	920.0670089
533	919.4062837
534	918.8061841
535	918.2675526
536	917.6563624
537	917.5363698
538	917.1130854
539	916.16134
540	915.5313342
541	914.8128247
542	914.2115775
543	913.5256067
544	912.9434535
545	912.428489
546	912.1968402
547	911.6503222
548	911.5036618
549	911.2280773
550	910.2489074
551	909.7963213
552	909.1206086
553	908.9206924
554	908.4603703
555	907.8685288
556	907.2777727
557	906.9139178
558	905.9551567
559	905.3363152
560	904.4772535
561	903.8147352
562	903.0486706
563	902.878857
564	902.4518171
565	902.2938428
566	901.9430984
567	901.2794791
568	900.9524646
569	900.568859
570	900.082018
571	899.2894739
572	898.4816286
573	897.8885317
574	897.1068542
575	896.5901751
576	896.1674033
577	895.5595281
578	894.9272122
579	894.3972149
580	893.564542
581	893.0181493
582	892.7182839
583	892.2555276
584	891.7435867
585	891.2902559
586	890.8780646
587	890.1909862
588	889.6842943
589	889.2823177
590	888.8402231
591	888.5832362
592	887.9255354
593	887.8083341
594	887.3576843
595	886.7766447
596	886.3625067
597	885.6557404
598	885.0491573
599	884.4612124
600	884.0123354
601	883.7798369
602	883.1610831
603	883.0780561
604	882.551173
605	882.0058225
606	881.7912344
607	881.2105155
608	880.4592258
609	880.0580301
610	879.724009
611	879.2282633
612	878.5756059
613	878.4204142
614	877.8530165
615	877.4828992
616	876.9186657
617	876.7790309
618	876.6527497
619	876.1916784
620	875.6681878
621	875.1119529
622	874.8107545
623	874.4901935
624	874.349662
625	873.6638216
626	873.167804
627	872.9707448
628	872.6528207
629	872.2609286
630	872.0902903
631	871.987433
632	871.3889078
633	870.780921
634	870.4606058
635	870.1069153
636	869.4354981
637	868.9935155
638	868.6114727
639	868.1729509
640	867.8931167
641	867.5039717
642	867.0382424
643	866.810023
644	866.3983925
645	865.6637721
646	865.066714
647	864.6007045
648	864.1929579
649	864.0262085
650	863.9098324
651	863.7446638
652	863.6787295
653	863.5334961
654	863.0857282
655	862.6048177
656	862.4185074
657	862.2480013
658	861.785913
659	861.6874581
660	861.365657
661	861.154843
662	860.4702146
663	860.3089412
664	860.178332
665	859.7946165
666	859.5989857
667	859.535518
668	859.2149487
669	859.0131224
670	858.8569352
671	858.7149931
672	858.2790264
673	857.6760723
674	857.6037491
675	856.8222097
676	856.5832028
677	856.1980868
678	855.6908043
679	855.3716963
680	855.0132485
681	854.5506772
682	854.3016141
683	854.0628312
684	853.8665699
685	853.7279144
686	853.1269591
687	852.9617172
688	852.5769088
689	852.0079841
690	851.6761635
691	851.3320462
692	850.595545
693	850.0839643
694	849.5924694
695	849.4852117
696	849.3691839
697	848.7138994
698	848.5769863
699	847.9205421
700	847.5666938
701	847.1948801
702	847.0510227
703	846.9644729
704	846.756924
705	846.6341913
706	846.2809873
707	845.7140206
708	845.4940984
709	845.0563519
710	844.8414532
711	844.1722404
712	843.9777234
713	843.667253
714	843.1275142
715	842.9115634
716	842.6520837
717	842.2738367
718	842.0964319
719	841.9710601
720	841.496497
721	841.2732946
722	841.1710148
723	840.9607609
724	840.5162932
725	840.3552914
726	839.9619912
727	839.7085608
728	839.1658749
729	839.0905734
730	838.9922887
731	838.4322496
732	838.3148406
733	837.961953
734	837.5511402
735	837.0309858
736	836.7285552
737	836.5671951
738	836.1086658
739	835.8425998
740	835.5718008
741	835.479189
742	834.9317036
743	834.4971632
744	834.4065283
745	834.1047825
746	833.7239958
747	833.6044314
748	833.5240236
749	833.4366514
750	833.0093193
751	832.5255892
752	831.9753459
753	831.9269706
754	831.4968857
755	831.1484668
756	830.7998205
757	830.6938473
758	830.3451245
759	830.0527811
760	829.6684552
761	829.3767263
762	829.1014029
763	828.7502026
764	828.5223835
765	828.3299661
766	827.7844246
767	827.732086
768	827.2345646
769	826.931537
770	826.6192335
771	826.2064872
772	825.9358962
773	825.4995441
774	825.1489268
775	825.0154143
776	824.7810732
777	824.5415134
778	824.2411723
779	823.9550998
780	823.7877155
781	823.5207506
782	823.3562249
783	822.8963568
784	822.6387402
785	822.3326167
786	822.2414105
787	822.0965203
788	821.7964711
789	821.6176361
790	821.2997359
791	821.0817544
792	820.7986086
793	820.6134201
794	820.5110986
795	820.3284764
796	820.0987644
797	819.9359226
798	819.5327236
799	819.3670693
800	819.0856951
801	818.7809638
802	818.5859989
803	818.3677535
804	818.0427229
805	817.8747108
806	817.5571914
807	817.319824
808	817.0801875
809	816.7895334
810	816.7450689
811	816.1613224
812	815.9487641
813	815.9037585
814	815.6414811
815	815.3097521
816	815.2401026
817	815.1488567
818	814.9270207
819	814.7843105
820	814.5095046
821	814.3251869
822	813.8927561
823	813.6187836
824	813.576073
825	813.5156828
826	813.3142298
827	813.1729464
828	813.1125836
829	813.0476546
830	812.8961144
831	812.6967455
832	812.6155078
833	812.5456818
834	812.131774
835	811.8193188
836	811.5876038
837	811.3957847
838	811.1034478
839	810.900476
840	810.3167491
841	810.1711317
842	810.1033249
843	810.0113873
844	809.8957163
845	809.6786266
846	809.57534
847	809.297351
848	808.7365328
849	808.6916534
850	808.6013421
851	808.469733
852	808.2970284
853	808.0380848
854	807.9406597
855	807.8116395
856	807.3790844
857	807.2445373
858	807.0068985
859	806.6560315
860	806.3923706
861	806.0429885
862	805.9023178
863	805.6109697
864	805.0767971
865	804.8761411
866	804.6423124
867	804.5630943
868	804.4564014
869	804.3225209
870	804.2698079
871	804.1148147
872	804.0419459
873	803.8856883
874	803.6490102
875	803.4551434
876	803.361987
877	803.2800187
878	803.1043761
879	802.8598105
880	802.7077184
881	802.5697839
882	802.3691776
883	802.2462596
884	802.0084069
885	801.6969889
886	801.621904
887	801.5446399
888	801.2566469
889	801.2163688
890	801.1693088
891	801.0629141
892	800.8720778
893	800.7252352
894	800.6359192
895	800.2323152
896	800.0504464
897	799.6205168
898	799.2472875
899	798.9656659
900	798.860146
901	798.7344944
902	798.584813
903	798.4472129
904	797.9088574
905	797.8622725
906	797.3765127
907	796.8887654
908	796.6306478
909	796.5742645
910	796.4352535
911	796.3073525
912	796.251753
913	796.1281431
914	796.0223458
915	795.7395214
916	795.3563919
917	795.0576876
918	794.7569255
919	794.6394581
920	794.5873445
921	794.3744529
922	794.0422062
923	793.8605201
924	793.6582623
925	793.2952486
926	793.0204888
927	792.9252539
928	792.742243
929	792.6394867
930	792.3960808
931	792.1154101
932	791.9737473
933	791.6560973
934	791.5099333
935	791.174901
936	791.1068883
937	790.9912837
938	790.7640904
939	790.5925181
940	790.5218047
941	790.483911
942	790.3278184
943	790.0785822
944	790.0028668
945	789.8370464
946	789.7446248
947	789.6507493
948	789.5118816
949	789.3527182
950	789.2356616
951	789.041065
952	788.8842583
953	788.7718132
954	788.5359762
955	788.2336969
956	788.1305775
957	788.0405762
958	787.8475099
959	787.6567276
960	787.4542352
961	787.4066163
962	787.2522249
963	787.0984509
964	787.06773
965	786.7667236
966	786.6496871
967	786.5470273
968	786.3056064
969	786.2407088
970	786.1714281
971	785.7030629
972	785.616768
973	785.360708
974	785.2634034
975	785.1716904
976	785.0934858
977	784.9360883
978	784.6553572
979	784.4849862
980	784.2614546
981	784.1215512
982	784.0112636
983	783.9495877
984	783.8797141
985	783.8264615
986	783.6768048
987	783.6187983
988	783.3785653
989	783.2115067
990	782.8966576
991	782.6301741
992	782.5075539
993	782.2905063
994	782.1198252
995	782.0052808
996	781.7603581
997	781.3973323
998	781.3394238
999	781.286544
1000	780.9587081
1001	780.7687684
1002	780.7332944
1003	780.6828295
1004	780.5849193
1005	780.2851127
1006	779.8990292
1007	779.5944313
1008	779.4942146
1009	779.3508665
1010	779.1982995
1011	779.0046732
1012	778.7947505
1013	778.6647044
1014	778.6192148
1015	778.5652288
1016	778.4987023
1017	778.271277
1018	778.1411982
1019	778.0281065
1020	777.8163277
1021	777.627271
1022	777.5723088
1023	777.4553474
1024	777.2961304
1025	777.2293587
1026	776.9644503
1027	776.5482608
1028	776.4265553
1029	776.3445391
1030	776.054535
